Date : 2023-12-14 08:51:20
Directory : /Users/tobycarroll/develop/sohohouse
Total : 181 files,  22220 codes, 197 comments, 862 blanks, all 23279 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     16,933 |          0 |          3 |     16,936 |
| TypeScript React   |        121 |      4,621 |        147 |        754 |      5,522 |
| SVG                |         26 |        297 |          0 |         25 |        322 |
| TypeScript         |         18 |        178 |          9 |         25 |        212 |
| CSS                |          8 |         93 |          8 |         27 |        128 |
| JavaScript         |          2 |         29 |         10 |          3 |         42 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         17 |         23 |          3 |         43 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        181 |     22,220 |        197 |        862 |     23,279 |
| . (Files)                                                                                               |          7 |     16,990 |         13 |         27 |     17,030 |
| public                                                                                                  |         11 |         80 |         23 |         13 |        116 |
| public (Files)                                                                                          |          2 |         42 |         23 |          4 |         69 |
| public/Icons                                                                                            |          9 |         38 |          0 |          9 |         47 |
| src                                                                                                     |        163 |      5,150 |        161 |        822 |      6,133 |
| src (Files)                                                                                             |          8 |        113 |         10 |         29 |        152 |
| src/components                                                                                          |        155 |      5,037 |        151 |        793 |      5,981 |
| src/components (Files)                                                                                  |          1 |         10 |          0 |          5 |         15 |
| src/components/Accordion                                                                                |          1 |         68 |          0 |          8 |         76 |
| src/components/Animations                                                                               |          2 |         71 |          0 |         10 |         81 |
| src/components/Button                                                                                   |          2 |         72 |          1 |         11 |         84 |
| src/components/Icons                                                                                    |          1 |        244 |          0 |         10 |        254 |
